year,gear,ocean,species,product,property,value
2012,LL,WIO,ALB,fzn_sash,catch_value,7253097.852
2012,LL,WIO,ALB,fzn_sash,sales_value,32761236.17
2012,LL,WIO,BET,fzn_sash,volume,53652
2012,LL,WIO,BET,fzn_sash,catch_value,582296873.1
2012,LL,WIO,BET,fzn_sash,sales_value,927647162.2
2012,LL,WIO,SKJ,lc,volume,1552
2012,LL,WIO,SKJ,lc,catch_value,2428080.753
2012,LL,WIO,SKJ,lc,sales_value,9653550.339
2012,LL,WIO,YFT,fzn_sash,volume,23323
2012,LL,WIO,YFT,fzn_sash,catch_value,136890900
2012,LL,WIO,YFT,fzn_sash,sales_value,427293077.7
2012,Other,WIO,SKJ,lc,volume,40
2012,Other,WIO,SKJ,lc,catch_value,60690.25566
2012,Other,WIO,SKJ,lc,sales_value,248802.8438
2012,Other,WIO,YFT,lc,volume,80
2012,Other,WIO,YFT,lc,catch_value,148167.178
2012,Other,WIO,YFT,lc,sales_value,780234.1969
2012,PS,WIO,ALB,lc,volume,1297
2012,PS,WIO,ALB,lc,catch_value,4579707
2012,PS,WIO,ALB,lc,sales_value,11668925.97
2012,PS,WIO,BET,lc,volume,17071
2012,PS,WIO,BET,lc,catch_value,34223087.25
2012,PS,WIO,BET,lc,sales_value,135709445.7
2012,PS,WIO,SKJ,lc,volume,82416
2012,PS,WIO,SKJ,lc,catch_value,125046202.8
2012,PS,WIO,SKJ,lc,sales_value,512633379.4
2012,PS,WIO,YFT,lc,volume,130276
2012,PS,WIO,YFT,lc,catch_value,241282841
2012,PS,WIO,YFT,lc,sales_value,1270572378
2012,TR,WIO,ALB,dom,volume,8
2012,TR,WIO,ALB,dom,catch_value,28248
2012,TR,WIO,ALB,dom,sales_value,24000
2012,TR,WIO,BET,dom,volume,148
2012,TR,WIO,BET,dom,catch_value,285122
2012,TR,WIO,BET,dom,sales_value,592000
2012,TR,WIO,SKJ,dom,volume,10592
2012,TR,WIO,SKJ,dom,catch_value,19420432
2012,TR,WIO,SKJ,dom,sales_value,37072000
2012,TR,WIO,YFT,dom,volume,8688
2012,TR,WIO,YFT,dom,catch_value,19652256
2012,TR,WIO,YFT,dom,sales_value,47784000
2012,BBPL,EIO,SKJ,lc,volume,1102.5
2012,BBPL,EIO,SKJ,lc,catch_value,2021433.75
2012,BBPL,EIO,SKJ,lc,sales_value,6857628.382
2012,BBPL,EIO,SKJ,dom,volume,6247.5
2012,BBPL,EIO,SKJ,dom,catch_value,11454791.25
2012,BBPL,EIO,SKJ,dom,sales_value,21866250
2012,BBPL,EIO,YFT,lc,volume,409.2
2012,BBPL,EIO,YFT,lc,catch_value,925610.4
2012,BBPL,EIO,YFT,lc,sales_value,3990897.917
2012,BBPL,EIO,YFT,dom,volume,2318.8
2012,BBPL,EIO,YFT,dom,catch_value,5245125.6
2012,BBPL,EIO,YFT,dom,sales_value,12753400
2012,GN,EIO,ALB,lc,volume,5.7
2012,GN,EIO,ALB,lc,catch_value,19676.4
2012,GN,EIO,ALB,lc,sales_value,51282.09562
2012,GN,EIO,ALB,dom,volume,108.3
2012,GN,EIO,ALB,dom,catch_value,373851.6
2012,GN,EIO,ALB,dom,sales_value,324900
2012,GN,EIO,BET,lc,volume,81.65
2012,GN,EIO,BET,lc,catch_value,163687.8375
2012,GN,EIO,BET,lc,sales_value,649093.5647
2012,GN,EIO,BET,dom,volume,1551.35
