year,gear,ocean,species,product,volume,catch_value,sales_value
2014,BBPL,WAO,ALB,lc,99.75,257754,906570.8888
2014,BBPL,WAO,ALB,dom,5.25,13566,27132
2014,BBPL,WAO,BET,lc,130.15,270561.9801,1045185.18
2014,BBPL,WAO,BET,dom,6.85,14240.10422,27400
2014,BBPL,WAO,SKJ,lc,26662.7,30870081.7,167531868.1
2014,BBPL,WAO,SKJ,dom,1403.3,1624741.142,4911550
2014,BBPL,WAO,YFT,lc,468.35,947641.1621,4614275.012
2014,BBPL,WAO,YFT,dom,24.65,49875.85064,135575
2014,GN,WAO,SKJ,dom,73,84519.42092,255500
2014,GN,WAO,YFT,dom,8,22133.77729,44267.55458
2014,HL,WAO,BET,dom,1688,2292304,6752000
2014,HL,WAO,BFT,fsh_sash,850,8811215.233,39666085.65
2014,HL,WAO,SKJ,dom,114,131989.2327,399000
2014,HL,WAO,YFT,fsh_sash,3271,18167134,48161468.03
2014,LL,WAO,ALB,lc,11756,30377504,106843582.6
2014,LL,WAO,BET,fzn_sash,22005,126352710,332587516.5
2014,LL,WAO,BFT,dom,63.6,659286.2221,0
2014,LL,WAO,BFT,fsh_sash,190.8,1977858.666,8903869.579
2014,LL,WAO,BFT,fzn_sash,381.6,3955717.333,21997157.79
2014,LL,WAO,YFT,fzn_sash,10883,76181000,155128529.6
2014,Other,WAO,ALB,dom,2493,6441912,12883824
2014,Other,WAO,BET,dom,12,24946.16797,48000
2014,Other,WAO,BFT,fsh_sash,118,1223203.997,5506586.008
2014,Other,WAO,SKJ,dom,3,3473.40086,10500
2014,Other,WAO,YFT,dom,20,40467.22161,110000
2014,PS,WAO,ALB,lc,31,80104,281741.3288
2014,PS,WAO,BET,lc,121,251540.5271,971705.0082
2014,PS,WAO,BFT,For ranching,42,526447.7313,2421070.826
2014,PS,WAO,SKJ,lc,1081,1251582.11,6792333.463
2014,PS,WAO,YFT,lc,2581,5222294.949,25428512.45
2014,TR,WAO,ALB,lc,0.5,0,0
