year,gear,rfmo,species,product,property,value
2012,O,W,SBF,fs,ev,0
2012,O,W,SBF,zs,v,0
2012,O,W,SBF,zs,dv,0
2012,O,W,SBF,zs,ev,0
2012,O,W,SBF,r,v,0
2012,O,W,SBF,r,dv,0
2012,O,W,SBF,r,ev,0
2012,O,W,SKJ,lc,v,0
2012,O,W,SKJ,lc,dv,0
2012,O,W,SKJ,lc,ev,0
2012,O,W,SKJ,d,v,122629
2012,O,W,SKJ,d,dv,193014372.4
2012,O,W,SKJ,d,ev,429201500
2012,O,W,SKJ,fs,v,0
2012,O,W,SKJ,fs,dv,0
2012,O,W,SKJ,fs,ev,0
2012,O,W,SKJ,zs,v,0
2012,O,W,SKJ,zs,dv,0
2012,O,W,SKJ,zs,ev,0
2012,O,W,SKJ,r,v,0
2012,O,W,SKJ,r,dv,0
2012,O,W,SKJ,r,ev,0
2012,O,W,YFT,lc,v,0
2012,O,W,YFT,lc,dv,0
2012,O,W,YFT,lc,ev,0
2012,O,W,YFT,d,v,0
2012,O,W,YFT,d,dv,0
2012,O,W,YFT,d,ev,0
2012,O,W,YFT,fs,v,0
2012,O,W,YFT,fs,dv,0
2012,O,W,YFT,fs,ev,0
2012,O,W,YFT,zs,v,62127
2012,O,W,YFT,zs,dv,364645240.5
2012,O,W,YFT,zs,ev,1138208508
2012,O,W,YFT,r,v,0
2012,O,W,YFT,r,dv,0
2012,O,W,YFT,r,ev,0
2012,PS,W,ALB,lc,v,0
2012,PS,W,ALB,lc,dv,0
2012,PS,W,ALB,lc,ev,0
2012,PS,W,ALB,d,v,0
2012,PS,W,ALB,d,dv,0
2012,PS,W,ALB,d,ev,0
2012,PS,W,ALB,fs,v,0
2012,PS,W,ALB,fs,dv,0
2012,PS,W,ALB,fs,ev,0
2012,PS,W,ALB,zs,v,0
2012,PS,W,ALB,zs,dv,0
2012,PS,W,ALB,zs,ev,0
2012,PS,W,ALB,r,v,0
2012,PS,W,ALB,r,dv,0
2012,PS,W,ALB,r,ev,0
2012,PS,W,BET,lc,v,57234.4
2012,PS,W,BET,lc,dv,110591169.4
2012,PS,W,BET,lc,ev,459306452.3
2012,PS,W,BET,d,v,0
2012,PS,W,BET,d,dv,0
2012,PS,W,BET,d,ev,0
2012,PS,W,BET,fs,v,0
2012,PS,W,BET,fs,dv,0
2012,PS,W,BET,fs,ev,0
2012,PS,W,BET,zs,v,14308.6
2012,PS,W,BET,zs,dv,150030978.8
2012,PS,W,BET,zs,ev,247396782.7
2012,PS,W,BET,r,v,0
2012,PS,W,BET,r,dv,0
2012,PS,W,BET,r,ev,0
2012,PS,W,BFT,lc,v,0
2012,PS,W,BFT,lc,dv,0
2012,PS,W,BFT,lc,ev,0
2012,PS,W,BFT,d,v,0
2012,PS,W,BFT,d,dv,0
2012,PS,W,BFT,d,ev,0
2012,PS,W,BFT,fs,v,0
2012,PS,W,BFT,fs,dv,0
2012,PS,W,BFT,fs,ev,0
2012,PS,W,BFT,zs,v,0
2012,PS,W,BFT,zs,dv,0
2012,PS,W,BFT,zs,ev,0
2012,PS,W,BFT,r,v,0
2012,PS,W,BFT,r,dv,0
2012,PS,W,BFT,r,ev,0
2012,PS,W,PBF,lc,v,0
2012,PS,W,PBF,lc,dv,0
2012,PS,W,PBF,lc,ev,0
2012,PS,W,PBF,d,v,0
2012,PS,W,PBF,d,dv,0
2012,PS,W,PBF,d,ev,0
2012,PS,W,PBF,fs,v,3883
2012,PS,W,PBF,fs,dv,140502114.9
2012,PS,W,PBF,fs,ev,208800362.9
2012,PS,W,PBF,zs,v,0
2012,PS,W,PBF,zs,dv,0
2012,PS,W,PBF,zs,ev,0
2012,PS,W,PBF,r,v,0
2012,PS,W,PBF,r,dv,0
2012,PS,W,PBF,r,ev,0
2012,PS,W,SBF,lc,v,0
2012,PS,W,SBF,lc,dv,0
2012,PS,W,SBF,lc,ev,0
2012,PS,W,SBF,d,v,0
2012,PS,W,SBF,d,dv,0
